"","country","species","latitude","longitude","year_start","year_end"
"1","Philippines","flavirostris",14.25,121.75,1995,1995
"2","Philippines","flavirostris",14.25,121.75,2002,2002
"3","Philippines","maculatus",14.75,120.25,1992,1993
"27","Viet Nam","minimus",20.75,105.25,1998,1999
"28","Viet Nam","minimus",12.25,108.75,1998,1998
"30","Viet Nam","minimus",12.25,108.75,1999,1999
"31","Viet Nam","minimus",21.25,105.75,1999,1999
"32","Thailand","minimus",14.25,99.25,2000,2000
"33","Thailand","minimus",14.25,99.25,2001,2001
"34","Thailand","minimus",15.25,98.75,1999,2001
"35","Thailand","minimus",12.75,102.25,1985,1987
"41","Thailand","dirus",12.75,102.25,1989,1990
"42","Thailand","dirus",16.75,98.75,2002,2003
"45","Lao People's Democratic Republic","sinensis",17.25,105.25,1998,1998
"46","Thailand","dirus",17.25,98.25,1994,1998
"47","Malaysia","aconitus",5.25,101.25,1990,1990
"48","Thailand","dirus",16.75,98.75,1989,1990
"51","Thailand","dirus",12.75,102.25,1983,1985
"53","Thailand","dirus",12.75,102.25,1984,1984
"55","Thailand","dirus",16.75,98.75,2001,2002
"63","Thailand","minimus",18.25,97.75,1990,1990
"64","Thailand","minimus",18.25,97.75,1991,1991
"71","Thailand","minimus",18.25,97.75,1992,1992
"74","Thailand","maculatus",6.75,100.25,1984,1985
"77","Indonesia","koliensis",-2.75,140.75,1987,1988
"78","Indonesia","sinensis",0.75,97.75,1998,1998
"79","Malaysia","balabacensis",5.25,116.75,1984,1985
"85","Indonesia","koliensis",-2.25,139.75,1996,1999
"86","Indonesia","sundaicus",-5.75,106.75,2000,2000
"87","Indonesia","sundaicus",-5.75,106.25,2000,2000
"88","Indonesia","barbirostris",-6.25,106.75,2001,2001
"89","Indonesia","aconitus",-8.75,115.75,1994,1995
"90","Myanmar","dirus",17.25,96.25,1998,2000
"95","Myanmar","barbirostris",16.75,96.25,1998,2000
"99","Myanmar","barbirostris",16.75,94.75,1998,2000
"101","Myanmar","sundaicus",16.75,94.25,1998,2000
"102","Myanmar","culicifacies",17.75,95.25,1998,2000
"105","Myanmar","dirus",22.25,96.25,1998,2000
"110","Myanmar","culicifacies",21.75,96.25,1998,2000
"111","Myanmar","culicifacies",22.75,95.75,1998,2000
"113","Myanmar","culicifacies",20.75,95.75,1998,2000
"115","Myanmar","barbirostris",20.75,95.25,1998,2000
"116","Myanmar","culicifacies",21.25,94.75,1998,2000
"117","Myanmar","culicifacies",21.25,95.25,1998,2000
"120","Myanmar","culicifacies",22.75,96.25,1998,2000
"122","Myanmar","barbirostris",22.25,96.75,1998,2000
"123","Myanmar","culicifacies",19.75,96.25,1998,2000
"125","Myanmar","culicifacies",21.25,96.25,1998,2000
"126","Myanmar","dirus",20.75,96.25,1998,2000
"127","Myanmar","dirus",20.25,96.25,1998,2000
"130","Myanmar","barbirostris",23.75,94.25,1998,2000
"131","Myanmar","dirus",24.25,94.25,1998,2000
"132","Myanmar","culicifacies",21.75,95.75,1998,2000
"133","Myanmar","barbirostris",22.25,95.25,1998,2000
"134","Myanmar","dirus",24.25,95.75,1998,2000
"135","Myanmar","aconitus",23.75,95.75,1998,2000
"136","Myanmar","barbirostris",24.25,96.25,1998,2000
"139","Myanmar","culicifacies",20.25,94.75,1998,2000
"140","Myanmar","culicifacies",20.75,94.25,1998,2000
"141","Myanmar","culicifacies",21.75,95.25,1998,2000
"142","Myanmar","culicifacies",21.25,94.25,1998,2000
"143","Myanmar","culicifacies",22.25,94.25,1998,2000
"145","Myanmar","culicifacies",20.75,94.75,1998,2000
"146","Myanmar","dirus",20.25,95.75,1998,2000
"147","Myanmar","culicifacies",20.25,95.25,1998,2000
"150","Myanmar","culicifacies",20.25,94.25,1998,2000
"152","Myanmar","culicifacies",19.25,95.25,1998,2000
"154","Myanmar","culicifacies",19.75,95.25,1998,2000
"155","Myanmar","culicifacies",19.25,94.75,1998,2000
"162","Myanmar","dirus",12.25,98.75,1998,2000
"163","Myanmar","dirus",11.25,98.75,1998,2000
"164","Myanmar","dirus",10.25,98.75,1998,2000
"165","Myanmar","dirus",14.25,98.25,1998,2000
"167","Myanmar","dirus",20.25,92.75,1998,2000
"168","Myanmar","barbirostris",19.25,93.75,1998,2000
"169","Myanmar","sundaicus",20.25,93.25,1998,2000
"170","Myanmar","sinensis",17.75,94.75,1998,2000
"171","Myanmar","sinensis",21.25,92.25,1998,2000
"173","Myanmar","dirus",20.75,92.25,1998,2000
"175","Myanmar","aconitus",20.75,93.25,1998,2000
"176","Myanmar","barbirostris",20.75,92.75,1998,2000
"177","Myanmar","dirus",16.25,97.75,1998,2000
"183","Myanmar","sinensis",16.75,97.25,1998,2000
"184","Myanmar","sinensis",17.25,97.25,1998,2000
"186","Myanmar","dirus",23.25,96.75,1998,2000
"187","Myanmar","dirus",22.75,97.25,1998,2000
"188","Myanmar","dirus",22.75,97.75,1998,2000
"191","Myanmar","annularis",20.75,97.25,1998,2000
"192","Myanmar","barbirostris",23.25,98.75,1998,2000
"193","Myanmar","culicifacies",23.75,98.75,1998,2000
"194","Myanmar","barbirostris",21.25,99.75,1998,2000
"195","Myanmar","culicifacies",20.25,99.75,1998,2000
"196","Myanmar","culicifacies",20.75,96.75,1998,2000
"198","Myanmar","culicifacies",21.25,96.75,1998,2000
"205","Myanmar","barbirostris",20.25,97.25,1998,2000
"206","Myanmar","aconitus",21.75,96.75,1998,2000
"208","Myanmar","culicifacies",18.75,97.25,1998,2000
"209","Myanmar","culicifacies",19.75,97.25,1998,2000
"211","Myanmar","dirus",25.25,97.25,1998,2000
"212","Myanmar","aconitus",24.75,96.25,1998,2000
"213","Myanmar","annularis",25.75,96.75,1998,2000
"214","Myanmar","barbirostris",26.25,96.75,1998,2000
"215","Myanmar","sinensis",25.25,96.75,1998,2000
"216","Myanmar","dirus",24.25,97.25,1998,2000
"218","Myanmar","sinensis",22.75,93.75,1998,2000
"219","Myanmar","sinensis",21.25,92.75,1998,2000
"220","Myanmar","minimus",21.25,93.75,1998,2000
"222","Myanmar","culicifacies",19.25,96.75,1998,2000
"223","Myanmar","sinensis",16.75,98.25,1998,2000
"224","Myanmar","sinensis",15.75,98.25,1998,2000
"225","Myanmar","sinensis",18.25,97.25,1998,2000
"226","Myanmar","dirus",16.75,97.75,1998,2000
"227","Myanmar","dirus",19.25,95.75,1998,2000
"229","Myanmar","annularis",18.25,96.75,1998,2000
"233","Myanmar","dirus",18.75,96.25,1998,2000
"234","Myanmar","annularis",17.75,95.75,1998,2000
"235","Myanmar","barbirostris",18.25,96.25,1998,2000
"239","Myanmar","culicifacies",19.25,96.25,1998,2000
"242","Myanmar","aconitus",18.75,95.25,1998,2000
"245","Malaysia","balabacensis",5.75,116.75,1998,1998
"246","Malaysia","balabacensis",5.75,116.75,1999,1999
"247","Malaysia","balabacensis",5.75,116.25,1998,1998
"248","Malaysia","balabacensis",5.75,116.25,1999,1999
"249","Lao People's Democratic Republic","dirus",14.75,106.75,2002,2002
"251","Lao People's Democratic Republic","dirus",14.75,107.25,2002,2002
"252","Indonesia","koliensis",-4.75,136.75,1993,1995
"253","Viet Nam","minimus",20.75,105.25,1995,1995
"254","Myanmar","culicifacies",14.75,98.25,1996,1998
"256","Myanmar","dirus",14.75,98.25,1997,1997
"262","Myanmar","culicifacies",14.75,97.75,1996,1998
"264","Myanmar","dirus",14.75,97.75,1997,1997
"269","Lao People's Democratic Republic","maculatus",17.25,105.25,1996,1996
"272","Myanmar","dirus",17.25,96.25,1999,1999
"273","Myanmar","dirus",17.75,96.75,1998,2000
"278","Myanmar","dirus",16.25,97.75,1999,1999
"281","Myanmar","minimus",17.25,96.25,1995,1997
"282","Lao People's Democratic Republic","aconitus",17.25,104.75,1999,1999
"283","Lao People's Democratic Republic","dirus",17.25,105.75,1999,1999
"284","Lao People's Democratic Republic","minimus",17.25,105.75,2000,2000
"286","Lao People's Democratic Republic","maculatus",17.75,105.25,1999,1999
"291","Cambodia","dirus",13.75,106.75,1999,1999
"294","Viet Nam","minimus",20.75,105.25,2000,2000
"295","Viet Nam","dirus",12.25,108.75,2000,2000
"296","Lao People's Democratic Republic","dirus",18.75,101.75,1999,1999
"297","Viet Nam","sundaicus",9.25,105.25,1998,1998
"298","Viet Nam","sundaicus",9.25,105.25,1999,1999
"299","Viet Nam","sundaicus",9.25,105.25,2000,2000
"300","Viet Nam","dirus",10.75,107.75,1998,1998
"301","Viet Nam","dirus",10.75,107.75,1999,1999
"302","Viet Nam","dirus",10.75,107.75,2000,2000
"303","Myanmar","maculatus",18.75,96.25,1992,1993
"306","Lao People's Democratic Republic","dirus",16.75,106.25,1999,1999
"307","Lao People's Democratic Republic","aconitus",15.25,106.75,2000,2001
"310","Lao People's Democratic Republic","aconitus",15.75,106.25,2000,2001
"318","Ethiopia","arabiensis",7.75,38.75,1994,1994
"319","Tanzania (United Republic of)","funestus",-5.25,38.25,1995,1996
"327","Tanzania (United Republic of)","funestus",-4.75,38.25,1995,1996
"328","Cameroon","moucheti",3.75,12.25,1997,1998
"330","Guinea","funestus",11.25,-12.25,1989,1989
"331","Guinea","funestus",11.75,-12.25,1989,1989
"332","Guinea","gambiae",11.75,-12.25,1990,1990
"333","Guinea","funestus",11.25,-12.75,1989,1989
"334","Burkina Faso","funestus",11.25,-4.75,1985,1986
"335","Burkina Faso","funestus",11.25,-4.75,1986,1987
"337","Senegal","arabiensis",16.25,-15.75,1987,1987
"338","Sudan","arabiensis",14.75,35.75,1997,1997
"339","Sudan","arabiensis",13.25,35.75,1997,1997
"340","Sudan","arabiensis",16.75,33.75,1997,1997
"341","Uganda","funestus",2.25,32.75,1992,1992
"344","Uganda","funestus",1.75,32.75,1992,1992
"345","Uganda","funestus",2.25,32.25,1992,1992
"346","Uganda","funestus",0.25,32.75,1992,1992
"349","Uganda","funestus",2.75,32.25,1992,1992
"352","Uganda","funestus",1.75,32.25,1992,1992
"353","Mozambique","funestus",-25.75,32.25,1989,1989
"354","Mozambique","funestus",-25.75,32.25,1990,1990
"355","Mozambique","funestus",-25.75,32.25,1991,1991
"356","Senegal","arabiensis",14.75,-17.25,1996,1996
"357","Senegal","arabiensis",14.75,-17.25,1997,1997
"365","Mali","funestus",12.25,-8.25,1993,1994
"366","Mali","funestus",14.25,-3.25,1998,2000
"367","Mali","arabiensis",12.75,-8.25,1989,1989
"369","Sudan","arabiensis",14.75,33.25,1986,1986
"370","Sudan","arabiensis",14.75,33.25,1987,1987
"371","Sudan","arabiensis",14.25,33.25,1986,1986
"372","Sudan","arabiensis",14.25,33.25,1987,1987
"373","Sudan","arabiensis",14.25,33.75,1986,1986
"374","Sudan","arabiensis",14.25,33.75,1987,1987
"377","Sudan","arabiensis",13.75,33.75,1986,1986
"378","Sudan","arabiensis",13.75,33.75,1987,1987
"380","Sudan","arabiensis",15.25,32.25,1995,1995
"381","Sudan","arabiensis",15.25,32.25,1996,1996
"382","Sudan","arabiensis",15.75,32.75,1995,1995
"383","Sudan","arabiensis",15.75,32.75,1996,1996
"384","Sudan","arabiensis",13.25,30.25,1989,1989
"385","Sudan","arabiensis",12.75,30.25,1989,1989
"387","Senegal","funestus",14.75,-17.25,1991,1993
"389","Madagascar","funestus",-16.75,49.75,1988,1990
"391","Madagascar","funestus",-16.75,49.75,1989,1989
"394","Sudan","arabiensis",13.75,35.75,1994,1995
"395","Sudan","arabiensis",13.75,35.25,1994,1995
"399","Tanzania (United Republic of)","arabiensis",-3.75,37.25,1994,1995
"402","Guinea-Bissau","melas",12.25,-15.75,1990,1990
"404","Guinea-Bissau","melas",12.25,-16.25,1990,1990
"408","Cameroon","funestus",10.75,14.75,1985,1985
"409","Niger","nili",13.25,2.25,1992,1992
"410","Uganda","arabiensis",0.75,30.25,1993,1994
"413","Uganda","arabiensis",0.25,30.25,1993,1994
"416","Ethiopia","funestus",8.25,36.75,1988,1999
"417","Ethiopia","nili",7.25,36.25,1988,1999
"418","Cameroon","funestus",4.25,11.25,1989,1989
"419","Cameroon","funestus",4.25,11.25,1990,1990
"420","Cameroon","funestus",4.25,11.25,1991,1991
"421","The Gambia","melas",13.25,-16.75,1988,1988
"422","The Gambia","arabiensis",13.75,-14.75,1987,1987
"424","Uganda","funestus",0.25,32.75,2002,2002
"425","Uganda","funestus",0.25,32.75,2003,2003
"428","Sudan","arabiensis",15.75,32.75,2002,2002
"429","Sudan","arabiensis",15.75,32.25,2002,2002
"431","Kenya","arabiensis",-3.75,39.75,1990,1991
"437","Kenya","arabiensis",-3.25,40.25,1997,1998
"438","Kenya","arabiensis",-2.75,40.25,1997,1998
"439","Kenya","arabiensis",-3.75,39.75,1997,1998
"457","Kenya","arabiensis",-4.25,39.25,1997,1998
"459","Kenya","arabiensis",-4.25,39.75,1997,1998
"463","Kenya","arabiensis",-4.75,39.25,1997,1998
"467","Tanzania (United Republic of)","arabiensis",-5.25,38.75,1988,1988
"468","Tanzania (United Republic of)","gambiae",-5.25,38.75,1986,1986
"469","Tanzania (United Republic of)","gambiae",-5.25,38.75,1987,1987
"470","Tanzania (United Republic of)","gambiae",-5.25,38.75,1989,1989
"475","Tanzania (United Republic of)","arabiensis",-4.75,38.25,1988,1989
"484","Burkina Faso","arabiensis",12.75,-1.25,1994,1996
"485","Sudan","arabiensis",14.75,33.25,1999,2000
"486","Kenya","arabiensis",-0.75,37.25,2001,2001
"487","Kenya","arabiensis",-0.75,37.25,2002,2002
"494","Côte d'Ivoire","funestus",5.75,-7.25,1995,1995
"495","Côte d'Ivoire","funestus",5.75,-7.25,1996,1996
"498","Burkina Faso","funestus",12.25,-1.25,1999,1999
"500","São Tomé and Príncipe","gambiae",0.25,6.75,1997,1997
"501","Cameroon","funestus",3.75,11.25,1994,1995
"503","Cameroon","funestus",6.75,14.75,1988,1988
"504","Kenya","arabiensis",-0.75,37.25,1989,1990
"506","Madagascar","funestus",-18.25,47.75,1993,1993
"507","Madagascar","funestus",-18.25,47.75,1994,1994
"508","Madagascar","funestus",-18.25,47.75,1995,1995
"509","Madagascar","funestus",-18.25,47.75,1996,1996
"510","Madagascar","funestus",-18.25,47.75,1997,1997
"511","Madagascar","funestus",-18.25,47.75,1998,1998
"512","Madagascar","funestus",-18.75,47.75,1993,1993
"513","Madagascar","funestus",-18.75,47.75,1995,1995
"514","Madagascar","funestus",-18.75,47.75,1996,1996
"515","Madagascar","funestus",-18.25,47.75,1991,1991
"516","Mali","arabiensis",12.75,-7.75,1994,1996
"517","Ethiopia","arabiensis",8.25,38.75,1997,1997
"518","Ethiopia","arabiensis",8.25,38.75,1998,1998
"519","Tanzania (United Republic of)","funestus",-6.25,38.75,1992,1992
"520","Tanzania (United Republic of)","funestus",-6.75,38.75,1992,1992
"524","Tanzania (United Republic of)","funestus",-6.75,39.25,1992,1992
"526","Tanzania (United Republic of)","funestus",-8.25,36.25,1990,1991
"529","Mozambique","arabiensis",-25.75,32.25,1994,1994
"530","Mozambique","arabiensis",-25.75,32.25,1995,1995
"531","The Gambia","melas",13.25,-16.25,1991,1992
"533","The Gambia","arabiensis",13.25,-14.25,1991,1992
"534","Mali","arabiensis",13.25,-5.75,1988,1988
"535","Mali","arabiensis",13.25,-5.75,1989,1989
"536","Burkina Faso","funestus",12.75,-3.75,2000,2000
"537","Senegal","arabiensis",14.75,-17.25,1987,1988
"540","Senegal","funestus",13.75,-16.25,1990,1990
"541","Senegal","funestus",13.75,-16.25,1991,1991
"542","Senegal","funestus",13.75,-16.25,1992,1992
"543","Cameroon","nili",3.75,11.75,1999,2000
"544","Eritrea","arabiensis",15.25,36.75,2002,2002
"547","Cameroon","funestus",4.25,9.25,1998,1998
"548","Cameroon","funestus",4.25,9.25,1999,2000
"549","Turkey","sacharovi",37.75,39.75,2000,2000
"550","Turkey","sacharovi",37.75,39.75,2001,2001
"551","Turkey","sacharovi",37.25,39.25,2000,2000
"552","Turkey","sacharovi",37.25,39.25,2001,2001
"553","Turkey","superpictus",37.25,39.75,2000,2001
"554","Sri Lanka","annularis",8.25,80.75,1994,1997
"555","India","culicifacies",28.75,77.25,1996,1996
"556","Pakistan","culicifacies",32.25,69.75,1989,1989
"557","India","aconitus",24.75,87.25,1998,1998
"558","India","aconitus",24.75,87.75,1998,1998
"561","India","annularis",26.75,92.75,1992,1992
"562","India","annularis",27.75,81.75,1999,1999
"563","Sri Lanka","subpictus",6.25,81.25,1986,1988
"564","India","subpictus",23.25,86.25,1998,1998
"565","India","annularis",26.75,92.75,1996,1996
"566","India","minimus",26.75,94.25,1999,1999
"567","Sri Lanka","aconitus",8.25,81.25,1990,1990
"568","Sri Lanka","subpictus",7.75,80.75,1990,1990
"569","Sri Lanka","subpictus",7.75,80.75,1991,1991
"570","India","annularis",20.25,85.25,1994,1994
"571","Pakistan","subpictus",33.75,71.75,1993,1994
"572","Pakistan","subpictus",31.75,73.75,1997,1997
"573","Pakistan","subpictus",31.75,73.75,1998,1998
"574","Pakistan","subpictus",34.25,71.75,1999,1999
"575","India","culicifacies",22.25,85.25,1997,1997
"576","India","fluviatilis",21.75,84.75,1997,1997
"577","India","subpictus",22.25,84.75,1998,2000
"579","India","subpictus",28.75,78.75,2000,2000
"580","India","subpictus",20.75,73.25,1995,1995
"581","India","subpictus",21.75,85.25,1989,1989
"582","India","subpictus",22.25,85.25,1989,1989
"583","Sri Lanka","subpictus",7.75,80.75,1993,1995
"584","Sri Lanka","culicifacies",7.75,80.75,1994,1994
"600","China","lesteri",32.25,115.75,1990,1990
"602","Ethiopia","arabiensis",8.25,39.25,1992,1992
"603","Ethiopia","arabiensis",8.25,39.25,1993,1993
"604","Ethiopia","arabiensis",8.25,39.25,1994,1994
"605","Ethiopia","arabiensis",14.25,38.25,1999,1999
"606","Ethiopia","arabiensis",14.25,38.25,2000,2000
"611","Cameroon","nili",3.75,11.25,2004,2004
"612","Madagascar","funestus",-16.25,49.75,1989,1989
"613","Madagascar","funestus",-16.25,46.75,1989,1989
"614","Madagascar","funestus",-17.75,46.75,1989,1989
"615","Madagascar","funestus",-18.25,47.25,1989,1989
"616","China","sinensis",34.75,116.75,1982,1982
"617","China","sinensis",34.75,116.75,1983,1983
"618","China","sinensis",34.75,116.75,1984,1984
"619","China","sinensis",34.75,116.75,1985,1985
"620","China","sinensis",34.75,116.75,1987,1987
"621","China","sinensis",35.25,115.25,1988,1988
"622","China","sinensis",35.25,115.25,1981,1981
"623","China","sinensis",35.25,115.25,1982,1982
"624","China","sinensis",35.25,115.25,1984,1984
"625","China","sinensis",35.25,116.25,1981,1981
"626","China","sinensis",35.25,116.25,1982,1982
"627","China","sinensis",35.25,116.25,1983,1983
"628","China","sinensis",35.25,116.25,1984,1984
"629","China","sinensis",35.25,116.25,1985,1985
"630","China","sinensis",35.25,116.25,1986,1986
"631","China","sinensis",35.25,116.25,1987,1987
"632","China","sinensis",35.25,116.25,1988,1988
"633","China","sinensis",34.75,117.25,1983,1983
"634","China","sinensis",34.75,117.25,1984,1984
"635","China","sinensis",34.75,117.25,1985,1985
"636","China","sinensis",34.75,117.25,1986,1986
"637","China","sinensis",34.75,117.25,1987,1987
"638","China","sinensis",34.75,117.25,1988,1988
"646","China","sinensis",35.25,118.25,1981,1981
"647","China","sinensis",35.25,118.25,1982,1982
"648","China","sinensis",35.25,118.25,1983,1983
"649","China","sinensis",35.25,118.25,1985,1985
"650","China","sinensis",35.25,118.25,1986,1986
"651","China","sinensis",35.25,118.25,1987,1987
"652","China","sinensis",35.25,118.25,1988,1988
"653","China","sinensis",35.25,115.75,1984,1984
"654","China","sinensis",35.25,115.75,1985,1985
"655","China","sinensis",35.25,115.75,1986,1986
"656","China","sinensis",35.25,115.75,1987,1987
"657","China","sinensis",35.25,115.75,1988,1988
"658","China","sinensis",35.25,117.25,1982,1982
"659","China","sinensis",35.25,117.25,1983,1983
"660","China","sinensis",35.25,117.25,1986,1986
"661","China","sinensis",36.25,115.25,1982,1982
"662","China","sinensis",36.25,115.25,1983,1983
"663","China","sinensis",36.25,115.25,1984,1984
"664","China","sinensis",36.25,115.25,1985,1985
"665","China","sinensis",36.25,115.25,1986,1986
"666","China","sinensis",36.25,115.25,1987,1987
"667","China","sinensis",36.25,115.25,1988,1988
"668","China","sinensis",32.25,114.25,1999,1999
"669","Côte d'Ivoire","funestus",6.75,-5.25,2002,2002
"670","Côte d'Ivoire","funestus",6.75,-5.25,2003,2003
"671","Côte d'Ivoire","funestus",6.25,-4.75,2002,2002
"672","Côte d'Ivoire","funestus",6.25,-4.75,2003,2003
"673","Peru","darlingi",-3.75,-73.25,1998,1998
"674","Peru","darlingi",-3.75,-73.25,2003,2003
"677","Colombia","nuneztovari",3.75,-77.25,1993,1993
"678","Colombia","nuneztovari",3.75,-77.25,1994,1994
"679","Colombia","nuneztovari",3.75,-77.25,1995,1995
"681","Guatemala","albimanus",14.25,-91.25,1998,1998
"684","Guatemala","albimanus",14.25,-90.75,1998,1998
"686","Peru","pseudopunctipennis",-4.75,-80.75,1996,1996
"687","Suriname","darlingi",4.25,-54.25,1983,1983
"688","Suriname","darlingi",4.25,-54.25,1984,1984
"689","Suriname","darlingi",4.25,-54.25,1985,1985
"690","Suriname","darlingi",4.25,-54.25,1986,1986
"691","China","sinensis",31.75,113.75,2001,2001
"692","China","dirus",18.75,110.25,1996,1996
"693","China","dirus",18.75,110.25,1997,1997
"694","China","dirus",18.75,110.25,1998,1998
"695","China","dirus",18.75,110.25,1999,1999
"696","China","dirus",18.75,110.25,2000,2000
"697","Burkina Faso","funestus",12.25,-1.25,2002,2002
"699","China","sinensis",26.75,113.75,1992,1992
"700","China","sinensis",27.75,113.25,1992,1992
"701","China","sinensis",25.25,118.25,1992,1992
"702","China","sinensis",25.25,118.25,1993,1993
"703","China","sinensis",25.25,118.25,1994,1994
"704","Burkina Faso","funestus",11.25,-4.25,1985,1985
"705","Burkina Faso","funestus",11.25,-4.25,1986,1986
"708","Democratic Republic of the Congo","gambiae",-4.25,15.25,1988,1989
"713","Benin","melas",6.25,2.25,1993,1995
"714","Burundi","funestus",-4.25,29.75,1992,1992
"715","Burundi","funestus",-4.25,29.75,1993,1993
"716","Burundi","funestus",-4.25,29.75,1994,1994
"728","Burkina Faso","funestus",11.25,-4.25,1991,1991
"729","Burkina Faso","funestus",11.25,-4.25,1992,1992
"734","Côte d'Ivoire","funestus",7.75,-5.25,1991,1991
"735","Côte d'Ivoire","funestus",7.75,-5.25,1992,1992
"738","Burkina Faso","funestus",11.25,-4.25,1987,1988
"739","Sudan","arabiensis",13.75,35.25,1990,1990
"740","Tanzania (United Republic of)","funestus",-8.25,36.75,1990,1991
"741","Nigeria","arabiensis",6.25,3.25,2000,2000
"742","Gabon","funestus",-0.75,10.25,1996,1996
"743","Gabon","funestus",-0.75,10.25,1997,1997
"748","Gabon","funestus",-1.75,12.75,1995,1996
"749","Gabon","funestus",-1.75,13.25,1998,1999
"750","Gabon","funestus",-1.75,13.75,1993,1995
"752","Gabon","nili",-1.75,13.75,1994,1994
"754","Gabon","funestus",-1.75,13.25,1993,1993
"755","Gabon","funestus",-1.75,13.25,1994,1994
"756","Gabon","funestus",-1.75,13.25,1995,1995
"758","Eritrea","arabiensis",15.75,38.25,1999,2002
"759","Eritrea","arabiensis",15.75,38.75,1999,2002
"760","Eritrea","arabiensis",15.25,38.75,1999,2002
"761","Eritrea","arabiensis",14.75,37.25,1999,2002
"762","Eritrea","arabiensis",14.75,39.25,1999,2002
"763","Eritrea","arabiensis",14.75,38.75,1999,2002
"764","Eritrea","arabiensis",15.75,39.25,1999,2002
"765","Eritrea","arabiensis",15.25,39.25,1999,2002
"766","Mali","funestus",12.75,-7.75,1998,1998
"767","Tanzania (United Republic of)","arabiensis",-8.25,36.75,1999,2000
"769","Madagascar","arabiensis",-24.75,45.75,1994,1997
"770","Madagascar","arabiensis",-24.75,46.25,1994,1997
"771","Mozambique","arabiensis",-25.75,32.25,1996,1996
"773","Madagascar","arabiensis",-18.75,47.25,1988,1989
"777","Madagascar","funestus",-18.75,47.25,1990,1990
"779","The Gambia","melas",13.75,-15.25,1989,1989
"783","The Gambia","arabiensis",13.25,-15.25,1989,1989
"787","The Gambia","melas",13.75,-15.75,1986,1986
"790","Sierra Leone","funestus",8.25,-11.75,1990,1991
"795","Sierra Leone","funestus",8.25,-11.25,1990,1990
"796","Sierra Leone","funestus",8.25,-11.25,1991,1991
"818","Tanzania (United Republic of)","arabiensis",-5.25,38.75,1996,1996
"819","Tanzania (United Republic of)","funestus",-8.25,36.25,1992,1992
"820","Tanzania (United Republic of)","funestus",-8.25,36.25,1993,1993
"821","Tanzania (United Republic of)","funestus",-8.25,36.25,1994,1994
"822","Tanzania (United Republic of)","arabiensis",-6.25,38.75,1996,1996
"823","Tanzania (United Republic of)","arabiensis",-6.75,38.75,1996,1996
"825","Tanzania (United Republic of)","funestus",-8.25,36.75,1985,1985
"831","Tanzania (United Republic of)","funestus",-9.25,36.75,1985,1985
"832","Kenya","funestus",-3.75,39.75,1992,1993
"835","Kenya","funestus",-0.25,34.75,1985,1988
"837","Kenya","funestus",-0.25,34.75,1986,1986
"838","Kenya","funestus",-0.25,34.75,1987,1987
"840","Kenya","funestus",-0.25,34.25,1985,1988
"842","Kenya","funestus",-0.25,34.25,1986,1986
"843","Kenya","funestus",-0.25,34.25,1987,1987
"845","Kenya","arabiensis",-0.25,34.75,1989,1989
"846","Kenya","arabiensis",-0.25,34.75,1990,1990
"851","Kenya","arabiensis",-0.75,37.25,1986,1987
"854","Kenya","funestus",-0.25,34.75,1991,1991
"855","Kenya","funestus",-0.25,34.75,1992,1992
"857","Kenya","funestus",-0.25,34.75,1993,1993
"858","Kenya","funestus",0.25,34.75,1991,1991
"859","Kenya","funestus",0.25,34.75,1992,1992
"861","Kenya","funestus",0.25,34.75,1993,1993
"862","Cameroon","moucheti",3.25,11.25,1991,1991
"863","Cameroon","moucheti",3.25,11.25,1992,1992
"864","Cameroon","funestus",3.75,11.25,1998,2000
"866","Cameroon","funestus",3.75,11.25,1999,1999
"868","Cameroon","moucheti",3.75,11.75,1991,1991
"869","Cameroon","moucheti",3.75,11.75,1992,1992
"873","Cameroon","nili",5.25,11.25,1995,1995
"874","Cameroon","funestus",3.75,11.75,1989,1989
"875","Cameroon","funestus",3.75,11.75,1990,1990
"876","Senegal","arabiensis",12.75,-16.25,1985,1986
"880","Senegal","arabiensis",13.75,-16.25,1993,1993
"881","Senegal","arabiensis",13.75,-16.25,1994,1994
"882","Senegal","arabiensis",13.75,-16.25,1995,1995
"883","Senegal","arabiensis",13.75,-16.25,1996,1996
"886","Senegal","arabiensis",14.75,-17.25,1989,1989
"887","Senegal","arabiensis",14.75,-17.25,1990,1990
"888","Senegal","arabiensis",14.25,-16.75,1995,1995
"890","Senegal","funestus",14.75,-16.25,1995,1995
"891","Senegal","arabiensis",16.25,-16.25,1992,1994
"894","Brazil","albitarsis",0.75,-51.75,1990,1990
"895","Brazil","albitarsis",0.75,-51.75,1991,1991
"896","Brazil","darlingi",0.75,-51.75,1992,1992
"897","Brazil","darlingi",0.75,-51.75,1993,1993
"902","Brazil","albitarsis",0.75,-52.25,1990,1990
"903","Brazil","albitarsis",0.75,-52.25,1991,1991
"904","Brazil","darlingi",0.75,-52.25,1992,1992
"905","Brazil","darlingi",0.75,-52.25,1993,1993
"906","Brazil","albitarsis",1.25,-51.75,1990,1990
"907","Brazil","albitarsis",1.25,-51.75,1991,1991
"908","Madagascar","funestus",-19.25,46.25,2002,2003
"909","Madagascar","funestus",-19.25,46.25,2003,2004
"914","Colombia","albimanus",6.25,-77.25,1985,1985
"915","Colombia","albimanus",6.25,-77.25,1986,1986
"916","Colombia","albimanus",5.75,-77.25,1983,1983
"917","Colombia","albimanus",5.75,-77.25,1985,1985
"918","Kenya","arabiensis",-0.25,35.25,1999,2001
